p cnf 198 514
c 
c ---------
c unitaries
c ---------
c 
c ---------------------------------------
c clauses representing 2-long XOR clauses
c ---------------------------------------
c 
c ------------
c binary clauses
c ---------------
-2 -38 0
2 38 0
2 93 0
-3 -39 0
3 39 0
3 56 0
3 175 0
-4 -57 0
4 140 0
-5 -40 0
5 40 0
5 95 0
-6 -58 0
6 166 0
-7 -41 0
7 41 0
7 59 0
7 176 0
-8 -67 0
8 142 0
-9 -42 0
9 42 0
9 97 0
-10 -68 0
10 167 0
-11 -43 0
11 43 0
11 60 0
11 177 0
-12 -69 0
12 144 0
-13 -44 0
13 44 0
13 99 0
-14 -70 0
14 168 0
-15 -45 0
15 45 0
15 61 0
15 178 0
-16 -71 0
16 146 0
-17 -46 0
17 46 0
17 100 0
-18 -72 0
18 169 0
-19 -47 0
19 47 0
19 62 0
19 179 0
-20 -73 0
20 148 0
-21 -48 0
21 48 0
21 101 0
-22 -74 0
22 170 0
-23 -49 0
23 49 0
23 63 0
23 180 0
-24 -75 0
24 150 0
-25 -50 0
25 50 0
25 102 0
-26 -76 0
26 171 0
-27 -51 0
27 51 0
27 64 0
27 181 0
-28 -77 0
28 151 0
-29 -52 0
29 52 0
29 103 0
-30 -78 0
30 172 0
-31 -53 0
31 53 0
31 65 0
31 182 0
-32 -79 0
32 152 0
-33 -54 0
33 54 0
33 104 0
-34 -80 0
34 173 0
-35 -55 0
35 55 0
35 66 0
35 183 0
-36 -81 0
36 153 0
-37 -82 0
37 174 0
38 56 0
-39 -57 0
-39 -58 0
40 59 0
-41 -67 0
-41 -68 0
42 60 0
-43 -69 0
-43 -70 0
44 61 0
-45 -71 0
-45 -72 0
46 62 0
-47 -73 0
-47 -74 0
48 63 0
-49 -75 0
-49 -76 0
50 64 0
-51 -77 0
-51 -78 0
52 65 0
-53 -79 0
-53 -80 0
54 66 0
-55 -81 0
-55 -82 0
56 -83 0
57 105 0
58 106 0
59 -83 0
60 -83 0
61 -83 0
62 -83 0
63 -83 0
64 -83 0
65 -83 0
66 -83 0
67 107 0
68 115 0
69 108 0
70 116 0
71 109 0
72 117 0
73 110 0
74 118 0
75 111 0
76 119 0
77 112 0
78 120 0
79 113 0
80 121 0
81 114 0
82 122 0
-83 -84 0
-83 -85 0
-83 -86 0
83 84 0
83 85 0
83 86 0
85 93 0
85 95 0
85 97 0
85 99 0
85 100 0
85 101 0
85 102 0
85 103 0
85 104 0
87 105 0
87 106 0
88 107 0
88 115 0
89 108 0
89 116 0
90 109 0
90 117 0
91 110 0
91 118 0
92 111 0
92 119 0
93 175 0
94 112 0
94 120 0
95 176 0
96 113 0
96 121 0
97 177 0
98 114 0
98 122 0
99 178 0
100 179 0
101 180 0
102 181 0
103 182 0
104 183 0
105 -123 0
-106 -124 0
106 124 0
107 -123 0
108 -123 0
109 -123 0
110 -123 0
111 -123 0
112 -123 0
113 -123 0
114 -123 0
-115 -125 0
115 125 0
-116 -126 0
116 126 0
-117 -127 0
117 127 0
-118 -128 0
118 128 0
-119 -129 0
119 129 0
-120 -130 0
120 130 0
-121 -131 0
121 131 0
-122 -132 0
122 132 0
-123 -133 0
-123 -134 0
-123 -135 0
123 133 0
123 134 0
123 135 0
124 154 0
125 155 0
126 156 0
127 157 0
128 158 0
129 159 0
130 160 0
131 161 0
132 162 0
134 140 0
134 142 0
134 144 0
134 146 0
134 148 0
134 150 0
134 151 0
134 152 0
134 153 0
136 154 0
137 155 0
138 156 0
139 157 0
140 175 0
141 158 0
142 176 0
143 159 0
144 177 0
145 160 0
146 178 0
147 161 0
148 179 0
149 162 0
150 180 0
151 181 0
152 182 0
153 183 0
154 -163 0
155 -163 0
156 -163 0
157 -163 0
158 -163 0
159 -163 0
160 -163 0
161 -163 0
162 -163 0
-163 -164 0
-163 -165 0
163 164 0
163 165 0
164 166 0
164 167 0
164 168 0
164 169 0
164 170 0
164 171 0
164 172 0
164 173 0
164 174 0
166 175 0
167 176 0
168 177 0
169 178 0
170 179 0
171 180 0
172 181 0
173 182 0
174 183 0
-175 -184 0
175 184 0
176 -185 0
176 195 0
176 196 0
176 197 0
177 -185 0
177 191 0
177 192 0
177 194 0
177 195 0
177 196 0
-178 -186 0
178 -185 0
178 186 0
178 192 0
178 193 0
178 194 0
179 -185 0
179 192 0
179 193 0
179 195 0
-180 -187 0
180 -185 0
180 187 0
-181 -188 0
181 -185 0
181 188 0
181 194 0
-182 -189 0
182 -185 0
182 189 0
183 -185 0
-184 -190 0
-185 -190 0
186 191 0
187 192 0
188 193 0
189 194 0
191 195 0
191 197 0
192 196 0
192 197 0
193 196 0
194 197 0
c 
c ------------
c normal clauses
c ---------------
-3 -38 -56 0
c clause learnt no glue 0 miniSatAct 0.000
4 39 57 0
c clause learnt no glue 0 miniSatAct 0.000
6 39 58 0
c clause learnt no glue 0 miniSatAct 0.000
-7 -40 -59 0
c clause learnt no glue 0 miniSatAct 0.000
-11 -42 -60 0
c clause learnt no glue 0 miniSatAct 0.000
-15 -44 -61 0
c clause learnt no glue 0 miniSatAct 0.000
-19 -46 -62 0
c clause learnt no glue 0 miniSatAct 0.000
-23 -48 -63 0
c clause learnt no glue 0 miniSatAct 0.000
-27 -50 -64 0
